id,review,label
1,모짜렐라바질파스타 정말 맛있게 먹었어요.. 입맛이 별로 없었는데 샐러드 먹자마자 살아나서 싹 비웠네요! 페퍼론치노가 매운 맛을 낸 것 같은데 느끼할 수 있는 크림을 조화롭게 잡아주었어요 혼자 여유롭게 파스타 즐기는 분들이 저말고도 여럿 있어서 좋았어요 조만간 또 들러서 로제파스타 먹으려구요,1
2,리뷰가 왜 좋은지 여실히 깨닫게 되는 맛이에요 정말 맛있습니다 스테이크가 너무 연하고 육즙이 좋아서 입에서 녹는줄 알았어요. 제가 라자냐 킬러인데 양이 많아서 원없이 먹었습니다. 특히! 아마트리치아나... 어쩜 이렇게 맛있을까요 깊은 토마토의 맛에 소스가 촉촉해서 동행이랑 서로 뺏어먹기 바빴어요. 다른 메뉴 먹어보러 재방문 의사 300프로 입니다,1
3,"추천 받아서 갔는데 너무너무너무 맛있어요ㅠㅠㅠ 바질 파스타랑 스테이크, 사진엔 없지만 라자냐도 먹었는데 진짜 너무 맛있어요 다른 곳이랑 다르게 리뷰이벤트로 음료가 아닌! 리코타 샐러드인가? 그런거 주시는데 스페셜함이 느껴져서 좋았어요 완전 강추!!",1
4,주말 점심에 예약없이 방문했어요. 1인 매장으로 조리 시 시간이 조금 걸리지만 메뉴가 다 맛있어요! 특히 트러프머쉬룸크림파스타는 트러플 향 확 나는게 좋더라구요. 로제파스타는 살짝 매콤해서 맛있었어요.,1
5,아이가 스테이크 먹고 싶다고 해서 왔어요. 부채살스테이크와 감자튀김 먹었는데 아이가 맛있다며 너무 잘 먹네요. 매장은 작지만 아늑하고 분위기가 좋아요. 직원분들도 친절해서 편하게 식사하기 좋은것 같아요.,1
6,점심 먹으려구 친구랑 왔어요 기숙사 살아서 봄동비빔밥 만들수가 없었는데 여기 팔더라구요!!!! 너무너무너무누무 맛있어요 다음에 또먹을거에요ㅠㅠ,1
7,순살 꽃게장 덮밥 맛 궁금해서 았는데 기대 이상으로 맛있어요!! 매장 플리도 좋아여 ㅋㅋㅋ 메뉴들 다양하구 맛있어요 입맛 없을 때도 오기 좋울 거 같아요,1
8,학교 근처라 갔는데 가볍게 한끼먹기 좋은 것 같아요,1
9,"이름부터 너무 귀여운 곳입니다
따끈한 밥 위에 달콤짭짤한 간장밥 한 숟갈 얹으니까 마음까지 포근해졌어요.
자극적이지 않은 맛이라 부담 없이 먹기 좋고 아기자기한 분위기 덕분에 기분까지 좋아지는 식당입니다. 행복은 역시 간장밥이구나하고 고개 끄덕이게 되는 곳이라 또 오고 싶어요",1
10,꾸준히 갑니다 맛있어요 직원분도 친절하십니다,1
